AAE	23.068694	72.628750	14	G472	B	AMVIG	22.853611	73.375833		Y	VASLA	23.521389	70.999722		N
AAE	23.068694	72.628750	14	J50	B	MIBOG	25.153611	72.900556		Y					N
AAE	23.068694	72.628750	14	L639	B	AGRIX	23.156667	74.340833		Y	LAXOM	22.808333	70.833333		Y
AAE	23.068694	72.628750	14	N893	B	VASLA	23.521389	70.999722		N					N
AAE	23.068694	72.628750	14	N895	B	AMVIG	22.853611	73.375833		Y	SASRO	24.071389	70.999722		Y
AAE	23.068694	72.628750	14	Q3	B	UUD	24.614722	73.893806		Y					N
AAE	23.068694	72.628750	14	Q4	B	ORAPI	23.571667	73.389722		N					N
AAE	23.068694	72.628750	14	R458	B	BVR	21.750639	72.189667		Y					N
AAE	23.068694	72.628750	14	W135	B	LAXOM	22.808333	70.833333		Y					N
AAE	23.068694	72.628750	14	W162	B	BUDVI	22.470000	72.203056		N					N
AAE	23.068694	72.628750	14	W40	B	BODAR	22.605278	74.221389		Y					N
AAE	23.068694	72.628750	14	W58	B	UGISO	24.358333	73.685833		Y					N
AAE	23.068694	72.628750	14	W62	B	HSR	22.368889	71.031111		Y					N
AAE	23.068694	72.628750	14	W63	B	KS	21.318083	70.261639		Y					N
AAE	23.068694	72.628750	14	W97	B	QQZ	22.332806	73.225889		Y					N
AAE	23.068694	72.628750	14	Z8	B	BEPDA	24.024722	72.416667		Y					N
AAGIN	40.583114	-88.313911	14	T325	B	SLONI	40.185108	-87.921078		Y	SMARS	41.127272	-88.860617		Y
AAL	57.103742	9.995581	14	L621	B	LAGUM	57.455556	9.268333		Y	LAPMA	56.625833	11.347500		Y
AAL	57.103742	9.995581	14	M725	B	ADSEN	56.144722	10.883889		Y					N
AAL	57.103742	9.995581	14	N607	B	KUVUS	57.338056	11.000000		Y	LASRO	56.073056	8.813889		Y
AAL	57.103742	9.995581	14	N866	B	DETNA	57.587611	11.069056		Y	KEMEG	56.720833	8.872500		Y
AAL	57.103742	9.995581	14	P615	B	ARTOR	58.334419	10.148983		Y	RADIS	56.541667	9.995000		Y
AAL	57.103742	9.995581	14	P621	B	NERDO	57.887942	9.228278		Y					N
AAL	57.103742	9.995581	14	P622	B	INTET	56.226389	9.411389		Y	RETKA	57.991522	9.438617		Y
AAL	57.103742	9.995581	14	P990	B	ASLID	56.346389	11.343889		N	KOVIK	57.559700	8.574142		Y
AAL	57.103742	9.995581	14	T138	B	TINAC	56.250822	5.000000		Y					N
AAL	57.103742	9.995581	14	T551	B	BINRO	58.160619	9.786192		N	TESPI	55.898333	10.531111		Y
AAL	57.103742	9.995581	14	Z716	B	VAXIT	56.537500	5.000000		Y					N
AALIX	48.504414	-121.756347	14	T332	B	BAALE	48.445161	-121.415667		Y	CRNEL	48.472069	-122.222400		Y
AALYS	44.673181	-69.069661	14	T295	B	BGR	44.841794	-68.873967		Y	RAZZR	44.221253	-69.586736		Y
AAMYY	51.399931	171.553728	14	R451	B	POWAL	50.174575	165.123283		Y	WALLT	51.781306	174.882500		Y
AANTS	38.718656	-78.462647	14	T356	B	HOAGE	39.128600	-78.086781		Y	KERRE	38.641939	-78.532383		Y
AANTS	38.718656	-78.462647	14	T358	B	HOAGE	39.128600	-78.086781		Y	KERRE	38.641939	-78.532383		Y
AANTS	38.718656	-78.462647	14	V143	B	HOAGE	39.128600	-78.086781		Y	KERRE	38.641939	-78.532383		Y
AANTS	38.718656	-78.462647	14	V286	B	CSN	38.641203	-77.865500		Y	TEAKK	38.789083	-79.028650		Y
AANTS	38.718656	-78.462647	14	V3	B	HOAGE	39.128600	-78.086781		Y	KERRE	38.641939	-78.532383		Y
AANTS	38.718656	-78.462647	14	V39	B	HOAGE	39.128600	-78.086781		Y	KERRE	38.641939	-78.532383		Y
AAR	31.728028	74.785917	14	A456	B	RABAN	31.592222	74.580833		Y					N
AAR	31.728028	74.785917	14	W21	B	ASARI	30.804167	75.158611		Y	KIKED	31.880278	75.512500		Y
AAR	31.728028	74.785917	14	W25	B	BOLUX	30.787222	75.073889		Y					N
AAR	31.728028	74.785917	14	W36	B	ANPOL	31.268333	75.310278		Y					N
AAR	30.908028	41.142167	14	B411	B	KAVID	30.597778	40.196389		Y	MURIB	31.210278	41.843333		Y
AAR	30.908028	41.142167	14	L768	B	OVANO	31.800278	39.164167		Y	RAF	29.620194	43.497972		N
AAR	30.908028	41.142167	14	V13	B	GADLI	30.386667	40.639167		Y					N
AAR	30.908028	41.142167	14	V16	B	DELNI	30.080000	41.274167		Y					N
AAR	30.908028	41.142167	14	V45	B	BONIS	31.432778	39.553611		Y	RAGED	30.088333	42.196944		Y
AARES	20.998611	-157.095000	14	T340	B	CHAIN	20.972994	-156.925761		Y	HLONO	21.038467	-157.248292		Y
AARNN	36.378775	-78.017792	14	Q113	B	MARCL	35.731781	-78.429603		Y	RIDDN	36.789219	-77.763969		Y
AARNN	36.378775	-78.017792	14	Q129	B	THEOO	37.592967	-78.122286		Y	YERBA	35.316897	-77.929061		Y
AAT	23.890417	91.238639	14	A201	B	BOGEP	24.068889	90.413889		Y	TEBUL	23.607500	92.626389		Y
AAT	23.890417	91.238639	14	B593	B	CML	23.433333	91.190250		Y	IKIPI	24.556039	91.340192		Y
AAT	23.890417	91.238639	14	R472	B	DOXAG	23.973536	91.287706		N					N
AAT	23.890417	91.238639	14	W54	B	MEPAR	24.000833	91.863611		Y					N
AAT	23.890417	91.238639	14	W55	B	MEPAR	24.000833	91.863611		Y					N
AAT	23.890417	91.238639	14	W84	B	MEPAR	24.000833	91.863611		Y					N
AAU	19.860889	75.406056	14	G450	B	DUBOX	20.370833	76.832222		Y	OPAKA	19.605833	74.549444		Y
AAU	19.860889	75.406056	14	J19	B	PUNOR	20.660833	74.782500		Y					N
AAU	19.860889	75.406056	14	J5	B	UBSAB	19.232778	75.130278		Y					N
AAU	19.860889	75.406056	14	J70	B	OJR	20.124194	73.930194		Y					N
AAU	19.860889	75.406056	14	L301	B	AKTIV	20.248056	73.258333		Y	ASOGA	19.542500	76.832222		Y
AAU	19.860889	75.406056	14	W146	B	OSBEM	20.916667	76.000000		N					N
AAU	19.860889	75.406056	14	W152	B	OJR	20.124194	73.930194		Y					N
AAU	19.860889	75.406056	14	W75	B	MELAX	19.498611	75.632500		Y	NONEN	20.295833	75.495000		Y
